Year,Country,gdp_growth,gdp_ppp_billions,population_millions,gdp_per_capita_ppp,inflation_rate
2029,Thailand,2.5,2221.427,71.316,31148.985,1.4
2029,Indonesia,5.2,6695.867,294.998,22697.977,2.5
2029,Malaysia,4.3,1929.45,35.319,54628.79,2
2029,Philippines,6.1,1978.359,119.017,16622.432,3
2029,Vietnam,5.6,2562.166,105.004,24400.617,3.6
2029,World,3.2,258665.813,8262.854,31304.657,3.2
2030,Thailand,2.5,2318.733,71.215,32559.606,1.5
2030,Indonesia,5.2,7175.058,297.431,24123.465,2.5
2030,Malaysia,4.3,2049.395,35.659,57472.584,2
2030,Philippines,6,2135.729,120.283,17755.815,3
2030,Vietnam,5.4,2749.885,105.574,26047.066,3.6
2030,World,3.1,271438.937,8332.628,32575.431,3.2
2031,Thailand,2.5,2419.608,71.104,34029.134,1.8
2031,Indonesia,5.2,7686.731,299.78,25641.236,2.5
2031,Malaysia,4.3,2176.108,35.986,60471.179,2
2031,Philippines,6,2304.874,121.563,18960.376,3
2031,Vietnam,5.4,2950.423,106.051,27820.919,3.6
2031,World,3.1,284744.957,8403.816,33882.818,3.2
